event_id,cause_type,region_origin,affected_nationality,affected_missing,affected_dead,region_incident,date_reported,meta_source_name,meta_source_reliability,geo_lat,geo_lon
1,Presumed drowning,Middle East,Iraq,1,1,Mediterranean,05/11/2015,IOM Greece,Verified,36.8915,27.2877
3,Fell from train,Central America & Mexico,Honduras,,1,Central America incl. Mexico,03/11/2015,La Jornada,Partially Verified,15.9564,-93.6631
4,Presumed drowning,Middle East,,,1,Mediterranean,03/11/2015,Hellenic Coast Guard,Verified,36.50438994,27.363252783
6,Drowning,MENA,,6,4,Mediterranean,01/11/2015,Reuters,Partially Verified,37.2856,27.0866
7,Vehicle accident,South East Asia,Cambodia,,4,Southeast Asia,01/11/2015,Phnom Penh Post,Partially Verified,13.3611,100.985
8,Drowning,MENA,,,11,Mediterranean,01/11/2015,Hellenic Coast Guard,Verified,37.751814055,26.96029054
9,Drowning,MENA,,,1,Mediterranean,01/11/2015,Hellenic Coast Guard,Verified,38.357540364,26.452156933
10,Drowning,MENA,,,1,Mediterranean,01/11/2015,Hellenic Coast Guard,Verified,39.276194736,26.383443408
11,Drowning,,,0,3,Mediterranean,28/10/2015,AP,Partially Verified,37.4578,26.9721
12,Died of unknown cause in hospital shortly after rescue,MENA,Syria,,1,Mediterranean,28/10/2015,IOM Greece,Verified,39.370815811,26.176473291
13,Drowning,MENA,Iran,,1,Mediterranean,26/10/2015,IOM Greece,Verified,39.280978384,26.384130053
14,Presumed drowning,South Asia,Afghanistan,7,3,Mediterranean,23/10/2015,IOM Greece,Verified,39.273005456,26.423268848
15,Presumed drowning,Middle East/ South Asia,,,1,Mediterranean,01/11/2015,Hellenic Coast Guard,Verified,39.274068566,26.38618999
16,Drowning,,Afghanistan,,4,Mediterranean,31/10/2015,Hurriyet Daily News,Partially Verified,39.279915379,26.388936572
17,Exposure. Died upon entry to refugee camp.,South Asia,Afghan,,1,Europe,31/10/2015,AP,Partially Verified,45.2604,19.1706
18,Drowning,,,,1,Mediterranean,30/10/2015,AP,Partially Verified,39.274068565,26.388249927
19,Drowning,Sub-Saharan Africa,Likely Comorian,,8,Sub-Saharan Africa,30/10/2015,LINFO,Partially Verified,-11.8028,43.8519
20,Drowning,Middle East/ South Asia,,,1,Mediterranean,30/10/2015,Hellenic Coast Guard,Verified,37.4578,26.9721
21,Drowning,,,32,7,Mediterranean,29/10/2015,Reuters Espa̱a,Verified,35.2446,-3.93175
22,Drowning,Middle East/ South Asia,,4,3,Mediterranean,29/10/2015,AP,Partially Verified,36.435,28.2175
23,Drowning,Middle East/ South Asia,,2,,Mediterranean,29/10/2015,AP,Partially Verified,37.7548,26.9778
24,,,,,8,Mediterranean,20/10/2015,IOM Rome,Verified,40.334718318,17.164602539
25,Drowning,,,,1,Mediterranean,02/10/2015,IOM Greece,Verified,36.9523,26.9808
28,Drowning,Middle East/ South Asia,,,4,Mediterranean,29/10/2015,Hurriyet Daily News,Partially Verified,39.470142083,26.592653418
29,Drowning,Middle East/ South Asia,,,2,Mediterranean,28/10/2015,AP,Verified,39.269816031,26.390309863
30,Drowning,Middle East/ South Asia,,1,3,Mediterranean,28/10/2015,Associated Press and Hellenic Coast Guard,Verified,37.7548,26.9778
31,Drowning,,Afghanistan,,3,Mediterranean,28/10/2015,Reuters and Al Jazeera,Partially Verified,39.274600114,26.3923698
32,Presumed drowning,Middle East/ South Asia,,,19,Mediterranean,28/10/2015,AP,Partially Verified,36.9523,26.9808
33,Presumed drowning,Middle East/ South Asia,,,1,Mediterranean,01/10/2015,Hellenic Coast Guard,Verified,36.9523,26.9808
34,Drowning,,Afghanistan,,1,Mediterranean,28/10/2015,Hellenic Coast Guard,Verified,39.277257797,26.409535937
35,Died of unknown cause in hospital shortly after rescue,Middle East/ South Asia,,,1,Mediterranean,28/10/2015,Hellenic Coast Guard,Verified,37.7548,26.9778
36,Drowning,,,13,43,Mediterranean,28/10/2015,IOM Greece and Hellenic Coast Guard,Verified,39.4277,26.3885
37,Drowning,,,1,1,Mediterranean,27/10/2015,Haberleber,Partially Verified,38.3243,26.288780444
38,Drowning,MENA,Syrian,,1,Mediterranean,26/10/2015,IOM Greece and AP,Verified,38.37315331,26.46039668
39,Suffocation,,,,52,Mediterranean,26/08/2015,IOM Rome,Partially Verified,34.3434,15.1172
42,,,Nigerian,,1,Mediterranean,23/08/2015,IOM Tunisia,Verified,34.8657,12.6049
