OBJECTID,Reported Date,Information Reliability,Region of Incident,Number Dead,Number Missing,Nationalities,Region of Origin,Migrant route,Location Description,Number of Female,Number of Male,Number of Children,Age Range,Information Source,URL,Comments,Has the record been reviewed for quality and ready for public view,Cause of death,Number of survivors,x,y,
118577,"October 20, 2016",Partially Verified,Horn of Africa,14,,Ethiopia,Horn of Africa,,"Bodies found on boat that arrived to Guehere, near Obock, Djibouti",,,,,IOM Djibouti,,,,Unknown,300,4817706.94232581,1340510.80314909,
118977,"October 24, 2016",Partially Verified,Mediterranean,29,,Unknown,Mixed,Central Mediterranean,25 nautical miles from the Libyan coast,,,,,Medicines Sans Frontieres,http://bit.ly/2fi9dUk,,,Fuel Inhalation,107,1652724.58851147,3899605.72916303,
119377,"October 25, 2016",Partially Verified,Mediterranean,1,29,Unknown,Mixed,Central Mediterranean,Unspecified location between Libya and Italy,,,,,IOM Italy,,,,Drowning,,1501978.98917245,4190835.94964127,
119378,"October 25, 2016",Partially Verified,Mediterranean,,29,Unknown,Mixed,Central Mediterranean,Unspecified location between Libya and Italy,,,,,IOM Italy,,,,Drowning,,1613588.83002946,4075716.64228547,
119379,"October 25, 2016",Partially Verified,Mediterranean,9,1,Unknown,Unknown,Central Mediterranean,Unspecified location between Libya and Italy,,,,,IOM Italy,http://bit.ly/2faoSWI,,,Unknown,,1760347.924337,3904497.69894713,
119380,"October 25, 2016",Partially Verified,Mediterranean,97,,"Senegal, Mali, Guinea",Sub-Saharan Africa,Central Mediterranean,"26 miles east of Tripoli, Libya",3,92,2,,IOM Libya,,,,Drowning,,1531387.54067661,3950064.50412771,
119381,"October 26, 2016",Partially Verified,Mediterranean,2,32,Unknown,Mixed,Central Mediterranean,Unspecified location between Libya and Italy,,,,,UNHCR,,,,Unknown,,1647832.61864556,3977877.24605073,
120577,"October 25, 2016",Verified,Mediterranean,,10,Unknown,Unknown,Central Mediterranean,Unspecified location between Libya and Italy,,,,,IOM Italy,,,,Presumed drowning,140,1739445.89836468,4095447.90683166,
120578,"October 27, 2016",Partially Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,Mexico to US,"Rio Grande near Rancho Los Cruces, Piedras Negras, Mexico",,1,,26,Super Channel 12,http://bit.ly/2eLFMsS,,,Drowning,,-11188389.4153612,3342116.82421567,
120579,"October 18, 2016",Partially Verified,Central America incl. Mexico,1,,Honduras,Central America & Mexico,Central America to US,"On train tracks near La Polka, Tonala, Chiapas, Mexico",,1,1,15,Jose Luis Morales,http://bit.ly/2f8M6rn,,,Fell from train,1,-10438222.9501868,1815589.06186355,
120977,"July 14, 2016",Partially Verified,U.S./Mexico Border,1,1,Honduras,Central America & Mexico,Central America to US,"Rio Grande, Rancho Las Tejas, Guerrero, Mexico",,2,,"24,26",Rancherita del Aire,http://bit.ly/2fd2dG8,,,Drowning,,-11482733.0933262,3371350.45479526,
