OBJECTID,Reported Date,Information Reliability,Region of Incident,Number Dead,Number Missing,Nationalities,Region of Origin,Migrant route,Location Description,Number of Female,Number of Male,Number of Children,Age Range,Information Source,URL,Comments,Has the record been reviewed for quality and ready for public view,Cause of death,Number of survivors,x,y,
193,"December 29, 2014",Verified,Mediterranean,,9,Syrian Arab Republic,MENA,Eastern Mediterranean,"Off town of Gümüşlük, near the city of Bodrum, Turkey",,,,,IOM Turkey via TCGC,http://bit.ly/1xAWSfK,,Yes,Drowning,,3046166.5813491,4439009.26551206,
194,"December 28, 2014",Partially Verified,Mediterranean,2,,Syrian Arab Republic,MENA,Apulia and Calabria,Unspecified location between Greece and Italy,,,,,Saudi Press Agency,,,Yes,Drowning,,2120669.6954591,4862615.07171782,
195,"December 24, 2014",Verified,Mediterranean,,30,Unknown,Unknown,,,,,,,IOM Rome,,Incident reported to IOM staff by survivors. ,Yes,Unknown,,1849161.45741431,4070112.9718473,
196,"December 23, 2014",Partially Verified,Mediterranean,5,,,,Central Mediterranean,Unspecified location between North Africa and Italy,,1,,,ANSA English,http://bit.ly/1xdZY9w,,Yes,Drowning,,1526290.4063175,4138606.00971123,
197,"December 19, 2014",Partially Verified,Mediterranean,9,,Unknown,Unknown,,"Unspecified location off the coast of Tangier, Strait of Gibraltar",,,3,3 infants,Reuters,http://yhoo.it/1AqncZM,,Yes,Drowning,,-646046.004403483,4279561.71250109,
198,"December 16, 2014",Partially Verified,Caribbean,1,,Cuba,Caribbean,,22 miles off the coast of Cuba,,1,,,Miami Herald,http://hrld.us/1CdEdJM,,Yes,Drowning,,-8937630.40875943,2710148.33424421,
199,"December 12, 2014",Verified,Europe,1,,Sudan,MENA,,"M25 highway, United Kingdom",,1,,,Calais Migrant Solidarity,http://bit.ly/1zTn3Of ,,Yes,Vehicle accident,,116184.152540946,6642689.72542992,
200,"December 7, 2014",Verified,Horn of Africa,21,3,Ethiopia,Horn of Africa,,"Off coast of Yemen, near al-Makha port",,,,,IOM Yemen,,"Although media has been reporting 70 deaths, reports from local authorities indicate the number is closer to 24. ",Yes,Drowning,,4804526.95873954,1475537.14149757,
201,"December 5, 2014",Partially Verified,Mediterranean,,23,Reported as unspecified nationals of Sub-Saharan Africa,Sub-Saharan Africa,Western Med,"32 kilometers off Cabo de Gata, Spain",,,,,Press TV,http://bit.ly/12VUMvt,,Yes,Presumed drowning,,-265389.005635881,4355690.62287904,
202,"December 5, 2014",Verified,Mediterranean,17,,Reported as unspecified nationals of Sub-Saharan Africa,Sub-Saharan Africa,Central Mediterranean,"40 miles north of Tripoli, Libya in the Channel of Sicily.",1,15,,,IOM Rome,,,Yes,Hypothermia,,1455357.62678402,4050548.55961466,
203,"December 1, 2014",Verified,Europe,1,,Unknown,Unknown,,On A16 highway between Calais and Boulogne,,1,,,Calais Migrant Solidarity,http://bit.ly/1vbpsyD,Likely struck by vehicle,Yes,Unknown (found on motorway),,195678.514111331,6594380.07275659,
204,"November 19, 2014",Verified,Europe,2,,Unknown,Unknown,,"Loon-Plague port, Dunkirk, France",,,,,Daily Mail,http://dailym.ai/1r4Egyr,,Yes,Burned to death hiding in truck,,251292.618516744,6620692.32414069,
205,"November 25, 2014",Verified,Mediterranean,,6,Reported as unspecified nationals of Sub-Saharan Africa,Sub-Saharan Africa,Central Mediterranean ,Unspeficied location in the Channel of Sicily,,,,,IOM Rome,,Deaths reported between 17 and 26 November 2014.,Yes,Drowning,,1465142.61002475,4290251.40197871,
206,"November 17, 2014",Verified,Mediterranean,,12,Reported as unspecified nationals of Sub-Saharan Africa,Sub-Saharan Africa,Central Mediterranean,Unspecified location in the Channel of Sicily,,,,,IOM Rome,,Deaths reported betweem 17 and 24 November 2014.,Yes,Drowning,,1438236.68910002,4344065.71731396,
207,"November 11, 2014",Verified,Horn of Africa,,30,Ethiopia,Horn of Africa,,"Unspecified location in the Gulf of Aden, off the coast of Djibouti",,,,,IOM Djibouti,http://bit.ly/11iUpJt,,Yes,Presumed drowning,,4901452.83937324,1356294.23768727,
208,"November 7, 2014",Verified,Mediterranean,4,,Afghanistan,South Asia,Eastern Mediterranean,"Unspecified location off the coast of Ayvalik, Turkey",,,,,Daily News,http://bit.ly/1wjEt2r,,Yes,Drowning,,2953528.72972714,4761715.08921439,
209,"November 5, 2014",Verified,Middle East ,27,11,Afghanistan,South Asia,,"Just north of Istanbul, Turkey",,,,,Daily Sabah,http://bit.ly/14gJbau,,Yes,Drowning,,3242614.31536819,5050501.02560818,
210,"October 30, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown,,-12368708.6220406,3680138.32160545,
211,"October 29, 2014",Verified,Mediterranean,,20,Reported as unspecified nationals of Africa,Unknown,,Unspecified location off the coast of Libya,,,,,Mail Online,http://dailym.ai/1EczOFt,,Yes,Presumed drowning,,1577664.35131859,4078673.7704337,
214,"October 27, 2014",Verified,Caribbean,,2,Cuba,Caribbean,,24 miles south of Miami,,,,,New York Times,http://nyti.ms/1ztzz96,,Yes,Drowning,,-8941292.82000652,2822665.55816194,
215,"October 24, 2014",Partially Verified,Europe,1,,Syria,Middle East/ South Asia,Calais to UK,"Calais, France",,1,,30,Liberation.fr,http://bit.ly/1NtbdS6,,Yes,Hit by truck,2,206908.424342552,6612683.77341068,
218,"October 20, 2014",Verified,Europe,1,,Ethiopia,Horn of Africa,,France - Calais,1,,,,Kentonline,http://bit.ly/1tj1pkQ,,Yes,Hit by vehicle,,206908.424342552,6612686.30538854,
219,"October 17, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,"Gulf of Aden, between Bosaso and Yemen (Bin Sinaa)",,,,,Society for Humanitarian Solidarity,http://shsyemen.org/en/,,Yes,Drowning,,5334697.16559158,1406439.56915095,
220,"October 17, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,"Gulf of Aden, between Bosaso and Yemen (Bin Sinaa)",,,,,Society for Humanitarian Solidarity,,,Yes,Drowning,,5334697.16559158,1406439.56915095,
221,"October 17, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,Unspecified location in the Gulf of Aden,,,,,Society for Humanitarian Solidarity,http://shsyemen.org/en/,,Yes,Drowning due to forced disembarcation,,5334697.16559158,1406439.56915095,
222,"October 17, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,"Gulf of Aden, between Bosaso and Yemen (Bin Sinaa)",,,,,Society for Humanitarian Solidarity,http://shsyemen.org/en/,,Yes,Drowning,,5334697.16559158,1406439.56915095,
223,"October 17, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,"Gulf of Aden, between Bosaso and Yemen (Hasihasah)",,,,,Society for Humanitarian Solidarity,http://shsyemen.org/en/,,Yes,Unknown,,5334697.16559158,1406439.56915095,
224,"October 17, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,"Gulf of Aden, between Bosaso and Yemen (Harow)",,,,,Society for Humanitarian Solidarity,http://shsyemen.org/en/,,Yes,Drowning,,5334697.16559158,1406439.56915095,
225,"October 17, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,"Gulf of Aden, between Bosaso and Yemen (Muwaisaâ€™a)",,,,,Society for Humanitarian Solidarity,http://shsyemen.org/en/,,Yes,Drowning,,5334697.16559158,1406439.56915095,
226,"October 16, 2014",Verified,Horn of Africa,1,,Unknown,Horn of Africa,,"Gulf of Aden, between Bosaso and Yemen (Jalooba)",,,,,Society for Humanitarian Solidarity,http://shsyemen.org/en/,,Yes,Drowning,,5434973.76289816,1415004.99060719,
229,"October 14, 2014",Partially Verified,Southeast Asia,,4,"Unknown. Survivors from Bangladesh, Burma, or are ethnic Rohingya",Unknown,,"Takua Pa District, Thailand",,,,,Phuketwan,http://bit.ly/1txbmNy,,Yes,Drowning,,10941503.6944782,1007134.62413751,
230,"October 12, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown,,-12405221.4150208,3725905.47075566,
231,"October 10, 2014",Partially Verified,Mediterranean,3,,Unknown,Unknown,Central Mediterranean,Unspecified location off the coast of Libya,,,,,spyghana,http://bit.ly/1ppPcey,,Yes,"Hyperthermia, starvation",,1724416.83603137,4286595.39070582,
233,"October 5, 2014",Verified,Caribbean,,2,Unknown,Caribbean,,"Unspecified location off the coast of Miami Beach, Florida",,,,,US Coast Guard,http://bit.ly/1w1qtvF ,,Yes,Presumed drowning,,-8889173.03441711,2968508.59821445,
234,"October 2, 2014",Verified,Horn of Africa,64,,Unknown,Horn of Africa,,Gulf of Aden,,,,,UNHCR,http://www.unhcr.org/5440ff676.html,,Yes,Drowning,,5508355.57122909,1426014.84735451,
235,"October 2, 2014",Verified,Mediterranean,10,85,Reported as unspecified nationals of Sub-Saharan Africa,Sub-Saharan Africa,Central Mediterranean,Unspecified location off the coast of Libya,,,,,AFP,http://yhoo.it/1rPZZgV,,Yes,Drowning,,1629027.16437061,3974722.93679208,
236,"October 1, 2014",Verified,Mediterranean,2,6,Reported as unspecified nationals of Sub-Saharan Africa,Sub-Saharan Africa,Western Med,Straight of Gibralter,,,,,AFP,http://bit.ly/1vClhQj,,Yes,Drowning,,-600718.934142274,4298667.64981512,
237,"October 1, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown,,-12541810.4302242,3781386.34898644,
238,"September 26, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown,,-12464777.3425952,3732803.74663323,
239,"September 25, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown,,-12472124.4289876,3782990.30733212,
240,"September 25, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown,,-12601032.3993262,3779546.00539636,
241,"September 23, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown,,-12432049.412302,3730499.52151828,
242,"September 21, 2014",Verified,Mediterranean,10,33,Unknown,Unknown,,Unspecified location off the coast of Libya,,,,,UNHCR News Today,http://bit.ly/1qZeYpE,,Yes,Drowning,,1888913.64757659,3975925.79327412,
243,"September 14, 2014",Partially Verified,Mediterranean,15,73,"15 dead from Palestine. Missing are from Palestine, Syria, and Egypt",MENA,Central Mediterranean ,Unspecified location off the coast of Alexandria,,,,,Palestinian News Network,http://bit.ly/1wwpzuk,,Yes,Drowning,,3304674.93148544,3701158.90955258,
244,"September 14, 2014",Partially Verified,Mediterranean,70,94,Unknown,Unknown,,"Unspecified location off the coast of Tajoura, Libya",,,,,"IOM, Italian Coast Guard, Al Wasat",,,Yes,Drowning,,1544023.60120087,3962501.01065417,
245,"September 12, 2014",Verified,Mediterranean,2,16,Unknown,Unknown,Central Mediterranean,300 miles southeast of Malta,,,,,Il Fatto Cronaca,http://bit.ly/1u0o4zU,,Yes,Drowning,,1792911.71871647,4161883.65217712,
246,"September 12, 2014",Verified,Mediterranean,3,497,"Syrian Arab Republic, Egypt, Sudan",MENA,Apulia and Calabria,Unspecified location between Libya and Italy,,,,,"Still under investigation, but reports passed on via IOM Italy. Also the Guardian",http://bit.ly/YLO09p also http://bit.ly/1pgJfts,,Yes,Drowning,,1604570.27224333,4016307.81091633,
247,"September 12, 2014",Verified,U.S./Mexico Border,1,,,,,Pima County,,,,,PCOME,,,Yes,Unknown,,-12473237.6238955,3732738.27964473,
248,"September 11, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Hyperthermia,,-12515984.3083601,3836134.59285544,
249,"September 10, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown,,-12597358.85613,3812886.928054,
251,"September 7, 2014",Verified,U.S./Mexico Border,1,,Unknown,Unknown,,Pima County,,,,,PCOME,,,Yes,Unknown,,-12582330.7248729,3763809.44653114,
252,"September 6, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,"Pima County, Arizona",,1,,,PCOME,,,Yes,Unknown,,-12351899.3789308,3793421.27499105,
253,"September 3, 2014",Verified,U.S./Mexico Border,1,,Mexico,Central America,,Pima County,,1,,46,PCOME,,,Yes,Unknown,,-12475352.6942206,3754020.61075681,
254,"August 31, 2014",Partially Verified,Mediterranean,,100,Unknown,Unknown,Central Mediterranean,"Off the shore of al-Qarbouli, Libya",,,,,Press Association,http://bit.ly/1CfRXCk,,Yes,Presumed drowning,,1526145.69097947,3880433.99853185,
255,"August 31, 2014",Verified,Southeast Asia,1,,Bangladesh,South Asia,,"Boikari frontier in Satkhira Sadar upazila, near India-Pakistan border",,1,,,Daily Star,http://bit.ly/1lCM2T1,,Yes,Tortured to death,,9901501.35174208,2592147.13993598,
256,"September 9, 2014",Verified,Southeast Asia,,9,China,East Asia,,Off the coast of Southern China between Zhuhai and Macao,,,,,China Central Television (eng); China News Service (eng) (ECNS),http://bit.ly/1BrewCC; http://bit.ly/1qUiMHJ,,Yes,Presumed drowning,,12650680.89222,2539691.11579713,
257,"August 29, 2014",Verified,Mediterranean,42,,Syrian Arab Republic,MENA,Central Mediterranean,Tunisian sea near maritime border with Libya,8,,,,AFP,http://bit.ly/1ox76Vp,,Yes,Drowning,,1320828.02216036,3963342.10567542,
258,"August 28, 2014",Verified,Caribbean,,23,"Dominican Republic, Haiti",Caribbean,,"Mona Passage, en route to Puerto Rico",,,,,Dominican Today,http://bit.ly/1tm0i4I,,Yes,Presumed drowning,,-7549532.0183127,2078075.53834477,
259,"August 28, 2014",Verified,Caribbean,11,6,Cuba,Caribbean,,150 miles northeast of Mexico's Yucatan peninsula,1,1,,,Yahoo! News,http://yhoo.it/1BItUZD,,Yes,"Dehydration, Presumed drowning",,-9605380.37428288,2707705.94976618,
260,"August 25, 2014",Verified,Caribbean,1,,Haiti,Caribbean,,"Hillsboro Beach, Florida",1,,,,Miami Herald,http://hrld.us/VLRkz8,,Yes,Drowning,,-8912405.41214567,3035502.65409575,
261,"August 25, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12449192.6138842,3731219.54480243,
262,"August 24, 2014",Verified,Mediterranean,24,,Unknown,Unknown,Central Mediterranean,Unspecified location between North Africa and Italy,,,,,IOM Rome,http://www.unhcr.org/53fc58969.html,,Yes,Drowning,,1565430.33928042,4105206.27714054,
263,"August 24, 2014",Verified,Mediterranean,1,,Unknown,Unknown,Central Mediterranean,Mediterranean,,,,,IOM Rome,,,Yes,Unspecified location between North Africa and Italy. Body brought to Calabria.,,1883403.33278232,4070962.02141387,
264,"August 24, 2014",Verified,Caribbean,4,5,Cuba,Caribbean,,"20 miles east of Hollywood Beach, Florida",,4,,"25, 32, 35, 45",Miami Herald,http://hrld.us/VLRkz8,,Yes,Drowning,,-8869447.22064854,2983100.12181936,
265,"August 23, 2014",Verified,Mediterranean,18,8,Reported as unspecified nationals of Sub-Saharan Africa,Sub-Saharan Africa,Central Mediterranean,Central Med,,26,,,IOM Rome and Yahoo! News,http://yhoo.it/1rsNKbN,,Yes,Drowning,,1767219.18024138,4202311.0712521,
266,"August 3, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12497950.5508516,3778008.22053449,
267,"August 22, 2014",Verified,Mediterranean,170,81,Sub-Saharan Africa,Sub-Saharan Africa,Central Mediterranean,"Off the shore of al-Qarbouli, Libya",,,,,"Aljazeera, Telegraph, IOM, UNHCR",http://bit.ly/1vYmAHV -- and -- http://bit.ly/1q1nsv3,,Yes,Drowning,,1532412.97831113,3884849.24614391,
268,"August 21, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Hyperthermia,,-12514982.432943,3787172.12614386,
269,"August 18, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12485037.4899196,3789474.06453181,
270,"August 16, 2014",Verified,Europe,1,,Afghanistan,South Asia,,"Tilbury docks, Essex, UK",,1,,,News Letter - The Pride of Northern Ireland,http://bit.ly/1sbXSrf,,Yes,"Homicide, likely by asphyxiation",,38428.7127362438,6703355.1981285,
271,"August 5, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12493497.7712199,3736274.00349489,
272,"August 5, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown (skeletal remains),,-12483812.9755209,3726023.24519476,
273,"August 5, 2014",Verified,U.S./Mexico Border,1,,Unnknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12439619.1376759,3767275.49959372,
274,"August 4, 2014",Verified,U.S./Mexico Border,1,,,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12524333.2701696,3741317.47076256,
275,"August 3, 2014",Verified,Mediterranean,2,170,Syrian Arab Republic,MENA,Central Mediterranean,50 miles off the Libyan coast,1,,,,IOM Italy,,,Yes,Drowning,,1724423.88044007,3961750.629212,
276,"August 1, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Hit by train,,-12467671.6493558,3740701.66207343,
277,"July 31, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown (skeletal remains),,-12432828.6487376,3739784.5583164,
278,"July 30, 2014",Verified,U.S./Mexico Border,1,,Mexico,Central America,,Pima County,,1,1,16,PCOME,,,Yes,Electrocution,,-12484480.8924656,3800937.73456047,
279,"July 30, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown (skeletal remains),,-12451419.0037,3747280.64541921,
280,"July 28, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12446966.2240683,3713950.7666292,
281,"July 28, 2014",Verified,Mediterranean,20,108,Survivors from Sub-Saharan Africa,Sub-Saharan Africa,Central Mediterranean,"60 miles off the coast of Al Khums, Libya",,,,,ANSA Med,http://bit.ly/1tcvA8x,,Yes,Drowning,,1511618.49743095,4091628.41253297,
282,"July 27, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12492273.2568212,3735959.6751219,
283,"July 26, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Hyperthermia,,-12508637.2219678,3735815.61067835,
284,"July 24, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12508414.5829862,3744829.48999215,
285,"July 24, 2014",Partially Verified,Europe,1,,Eritrea,Horn of Africa,,"Abandoned airfield outside Downham Market, England, UK",,1,1,17,The Independent,http://ind.pn/1ArBv2L,Run over by truck,Yes,Hit by truck,,19567.8514111357,6613938.46063868,
286,"July 21, 2014",Verified,Mediterranean,5,14,Unknown,Unknown,Central Mediterranean,South of Sicily,,,,,Malta Today,http://bit.ly/1kPk5Bh,,Yes,Drowning,,1567879.36807787,4349676.17253722,
287,"July 19, 2014",Verified,Mediterranean,3,,'Mostly African',Unknown,Apulia and Calabria,"Off the Libyan coast, northeast of Tripoli",,,,,World Bulletin,http://bit.ly/1mJh3OD,,Yes,Drowning,108,1585000.30576187,3954413.60157077,
288,"July 19, 2014",Verified,Mediterranean,2,53,"Egypt, Syrian Arab Republic",MENA,Apulia and Calabria,"off the coast of Kafr el-Sheikh governorate, Egypt",,,,,Zee News,http://bit.ly/1rDmowj,,Yes,Drowning,,3414291.23406958,3708539.70044247,
289,"July 19, 2014",Verified,Mediterranean,29,,'Sub-Saharan African',Sub-Saharan Africa,Central Mediterranean,Between Libya and Malta,,,,,Voice of America,http://bit.ly/1lGMVUD,,Yes,On board violence,,1582551.27696442,4107234.23034073,
290,"July 17, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12490714.7839501,3731219.54480243,
291,"July 17, 2014",Verified,Mediterranean,3,,Unknown,Unknown,Central Mediterranean,"Off the coast of Garabulli, Libya",,,,,Al-Arab Online,http://bit.ly/1zPFO5S,,Yes,Drowning,,1527214.35809109,3873330.6566883,
292,"July 17, 2014",Verified,Mediterranean,,41,"Survivors were from Gambia, Ghana and Mali",Sub-Saharan Africa,Central Mediterranean,"30 miles off the coast of Tripoli, Libya",,,,,The Daily Star,http://bit.ly/1sqWRpz,,Yes,Presumed drowning,,1460556.24700407,3927509.57531154,
293,"July 15, 2014",Verified,Southeast Asia,2,18,Indonesia,South East Asia,,off the southwest coast of Malaysia,,,,,BBC,http://bbc.in/U7rVik,,Yes,Drowning,60,12834135.4130473,708673.058618822,
294,"July 14, 2014",Verified,Mediterranean,1,109,,,Central Mediterranean,40 miles off the coast of Libya,1,,,,UNHCR,http://bit.ly/1sWPpWs,,Yes,Drowning,,1624129.10677571,3982757.7271447,
295,"July 13, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12413229.5152137,3782242.4927663,
296,"July 12, 2014",Verified,Mediterranean,12,,,,Central Mediterranean,"Bodies found on coast near Tripoli, Libya",,,,,IANS,http://bit.ly/1owlyg0,,Yes,Presumed drowning,,1469884.82033255,3888815.10352884,
297,"July 11, 2014",Verified,Mediterranean,4,21,Unknown,Middle East/ South Asia,Eastern Mediterranean,"Off of Samos, Greece",1,2,,,Greek Reporter,http://bit.ly/2akKh88,,Yes,Drowning,,2996939.11312969,4559953.76029293,
299,"July 6, 2014",Verified,Mediterranean,12,188,Syrian Arab Republic,MENA,Central Mediterranean,Off the coast of Tripoli,1,,2,,Reuters,http://bit.ly/1tj27A3,,Yes,Drowning,,1457038.551095,3890194.84659047,
300,"July 5, 2014",Verified,Mediterranean,13,,Unknown,Unknown,Central Mediterranean,Boat drifting in Libyan waters,,,,,IANS,http://bit.ly/1owlyg0,,Yes,Unknown,,1702408.97270154,3899751.37273844,
301,"July 5, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12514425.835489,3748499.85447488,
302,"July 2, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Hyperthermia,,-12435945.5944798,3731677.76371147,
303,"July 2, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown (skeletal remains),,-12446854.9045775,3728313.53103963,
304,"July 1, 2014",Verified,U.S./Mexico Border,1,,,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown (skeletal remains),,-12450194.4893013,3728012.49735725,
305,"July 1, 2014",Verified,Mediterranean,,75,Unknown,Unknown,Central Mediterranean,South of Sicily,,,,,Yahoo! News,http://yhoo.it/VJXUqq,,Yes,Drowning,,1762332.25459556,4360186.37510635,
306,"June 29, 2014",Verified,Mediterranean,45,,"Syrian Arab Republic, Eritrea, Somalia, Cameroon",,Central Mediterranean,Italian waters,,45,,,Oman Daily Observer,http://bit.ly/1s1NEnD,,Yes,Asphyxiation and crushing,,1635140.69165562,4331327.43434051,
307,"June 29, 2014",Verified,Mediterranean,2,4,Syrian Arab Republic,Sub-Saharan Africa,Central Mediterranean,Unspecified location between North Africa and Italy. Survivors taken to Porto Empedocle in Sicily.,,4,,,Yahoo! News,http://yhoo.it/1y3UHP6,,Yes,Drowning,,1405219.32813073,4325941.53020229,
308,"June 28, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12471456.5120428,3745746.97656575,
309,"June 27, 2014",Verified,Mediterranean,,240,Eritrea,Horn of Africa,Central Mediterranean,Unknown location between North Africa and Italy. Boat went missing and was never recovered.,,,,,IOM Rome Office,,,Yes,Presumed drowning,,1878516.4071365,4110101.02851916,
310,"June 25, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12413688.1373782,3791109.18807706,
311,"June 19, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown (skeletal remains),,-12436947.4698969,3744370.77282847,
312,"June 19, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown (skeletal remains),,-12440732.3325839,3735658.45142227,
313,"June 18, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Hyperthermia,,-12509527.7778941,3761184.31320832,
314,"June 18, 2014",Verified,Southeast Asia,9,26,Indonesia,South East Asia,,Coast of Malaysia - Strait of Malacca,1,8,,,The World Post (Huffington and BIG),http://huff.to/1ygPxkU,,Yes,Drowning,,11081309.8429655,519610.965232194,
315,"June 18, 2014",Verified,Mediterranean,4,,Reported as unspecified nationals of Africa,Unknown,Western Med,Morocco/Spain border near Melilla,,,,,L'Espresso,http://bit.ly/U4b8wu,,Yes,Clubbed/beaten to death,,-329749.482432923,4201765.61222568,
316,"June 17, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown,,-12498729.7872872,3755529.09526218,
317,"June 15, 2014",Verified,Mediterranean,1,,Syrian Arab Republic,MENA,Central Mediterranean,Between Libya and Sicily,,,,,BBC,http://bbc.in/V7Onc6,,Yes,Unknown,,1388710.64764609,4287708.55722308,
318,"June 14, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown (skeletal remains),,-12438394.6232772,3747582.15878282,
319,"June 14, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Hyperthermia,,-12469675.4001901,3754610.86482823,
320,"June 14, 2014",Verified,Mediterranean,10,,Unknown,Unknown,Central Mediterranean,40 nautical miles north off the coast of Libya,,,,,Reuters,http://reut.rs/1qNxMVT,,Yes,Drowning,,1629027.16437061,4066124.63897743,
321,"June 13, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12411681.342735,3798670.34870166,
322,"June 12, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,1,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12430602.2589217,3770860.76450885,
323,"June 12, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12457096.2977305,3790381.80764175,
324,"June 12, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Hyperthermia,,-12471567.8315336,3785948.9903617,
325,"June 12, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,-12476465.8891285,3750453.4675975,
327,"June 10, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown (skeletal remains),,-12430903.7944792,3793284.64264581,
328,"June 10, 2014",Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Hyperthermia,,-12466224.4959755,3779072.8198276,
